clave,escuela
600,ESCUELA URBANA MATUTINA #11
601,SECUNDARIA REVOLUCION
602,ESCUELA SECUNDARIA TECNICA #1
603,"MINISTERE DE L' EDUCATION NATIONALE, DE L'ENSEIGNE"
604,ESCUELA NORMAL SUPERIOR DE NAYARIT
605,SECUNDARIA CARLOS M. ESQUERRO
606,CENTRO DE ESTUDIOS TEC. EMPRESARIALES DE NAVOLATO
607,SECUNDARIA FEDERAL #5
608,ESCUELA PRIMARIA CORONEL RODOLFO T. LOAIZA
609,INTERNADO INFANTIL DEL EDO PROFRA. PAQUITA NUÑEZ Z
610,ESCUELA PREPARATORIA ABIERTA
611,"SECUNDARIA TECNICA COMERCIAL ""INCA"""
612,SECUNDARIA SIMON BOLIVAR
614,UAS PREPARATORIA (CASA BLANCA)
615,INSTITUTO CULTURAL GALENO
616,"INSTITUTO PEDAGOGICO HISPANOAMERICANO, A. C."
618,COBAES 83 (EMSAD EL VALLE DE MOCORITO)
620,COBAES 77 (EMSAD 05 SANALONA)
624,COBAES 66 (EMSAD EL PALMAR DE LOS SEPULVEDA)
626,UAS (GUASAVE DIURNA)
627,TEC MILENIO (CAMPUS MAZATLAN)
629,"COBAES 51 (AGUAVERDE, EL ROSARIO)"
633,UAS PREPARATORIA CERVANTES
635,UAS (CDTE. VICTOR MANUEL TIRADO LOPEZ)
640,BACHILLERATO  TRES RIOS
643,CET. DEL MAR #23
645,COBAES EMSAD ( SANTA RITA )
649,"CENTRO DE EDUCACION JUVENIL ""PROTERO BEJARANO"""
652,INSTITUTO HUMAYA
657,LIBRE DE DERECHO DE SINALOA
658,UNIVERSIDAD PEDAGOGICA NACIONAL
662,C.B.T.A. 261
667,PREP. SOR JUANA INES DE LA CRUZ GUASAVE
671,INSTITUTO ANGLO MODERNO
672,"EMSAD ""EL VALLE DE LEYVA SOLANO"""
675,UNIVERSIDAD AUTONOMA DE DURANGO CAMPUS CULIACAN
678,COBAES 108 POTRERO DE BEJARANO (EMSAD 108)
682,INSTITUTO NACIONAL EN COMPUTACION AVANZADA
683,SEBEC (SISTEMA EDUCATIVO BILINGUE EST. CASTAÑEDA)
686,UAS ( FLORES MAGON)
687,"INSTITUTO CANIZALEZ DE MAZATLAN, A. C-"
688,COBAES 100 (EMSAD HUIXIOPA)
690,UAS (PREPARATORIA LAZARO CARDENAS)
693,COBAES 94 (EL SALADO)
696,(UAS) PREPARATORIA CASA BLANCA EXT. EL PROGRESO
699,UAS (PREPARATORIA POTRERILLOS)
701,COBAES (CENTRO DE BACHILLERATO A DISTANCIA NO.89)
