clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida
986,4,1,3,Culiacancito,25006.0,CULIACAN,2013.0,2071.0,5
987,4,1,19,Potreritos,25013.0,MOCORITO,2013.0,2063.0,5
988,4,1,48,Industrial Bravo,25012.0,CULIACAN,2013.0,2071.0,5
989,4,1,3,Infonavit Coca Cola,25006.0,CULIACAN,2013.0,2061.0,5
990,4,1,107,4 de Marzo,25006.0,CULIACAN,2013.0,2053.0,5
991,4,1,25,Lazaro Cardenas,25011.0,CULIACAN,2013.0,2061.0,5
992,4,1,2,Ejidal,25006.0,CULIACAN,2013.0,2061.0,5
993,4,1,127,Alcanfores,25018.0,NAVOLATO,2013.0,2063.0,4
994,4,1,73,El Milagro,25006.0,CULIACAN,2013.0,2071.0,5
995,4,1,36,Libertad,25011.0,GUASAVE,2013.0,2061.0,5
996,4,1,3,,25006.0,CULIACAN,2013.0,2053.0,5
997,4,1,107,Los Angeles,25006.0,CULIACAN,2013.0,2053.0,5
998,4,1,3,El Walamo,25006.0,CULIACAN,2013.0,2063.0,4
999,4,1,26,,25006.0,"ELDORADO,CLN.",2013.0,2063.0,5
1000,4,1,192,La Cruz,99999.0,EL ROSARIO,2013.0,2061.0,5
1001,4,1,4,Magisterio,25015.0,GUAMUCHIL,2013.0,2061.0,5
1002,4,1,31,Humaya,25006.0,CULIACAN,2013.0,,3
1003,4,1,16,FRAC.V.FONTANA,25006.0,CULIACAN,2013.0,2063.0,5
1004,4,2,2,Rafael Buelna,25006.0,CULIACAN,2013.0,2061.0,5
1005,4,1,26,,25006.0,"ELDORADO,CLN.",2013.0,2021.0,4
1006,4,1,89,Bachigualato,99999.0,CULIACAN,2013.0,2063.0,5
1007,4,1,141,Infonavit Jobori,25013.0,MOCORITO,2013.0,2053.0,5
1008,4,1,26,ESCOBEDO,25006.0,"ELDORADO,CLN.",2013.0,,3
1009,4,1,103,TETUAN NUEVO,25006.0,NAVOLATO,2013.0,2063.0,5
1010,4,1,3,Villa del Real,25006.0,CULIACAN,2013.0,2073.0,5
1011,4,1,1,Los Angeles,25006.0,CULIACAN,2013.0,2041.0,4
1012,4,1,154,El Chaleco,25011.0,GUASAVE,2013.0,2061.0,5
1013,4,1,10,Los Angeles,25011.0,GUASAVE,2013.0,2061.0,5
1014,4,1,0,Aquiles Serdan,18018.0,CULIACAN,2013.0,2073.0,5
1015,4,1,2,Universidad 94,25006.0,CULIACAN,2013.0,2063.0,5
1016,4,1,3,Los Robles,25006.0,CULIACAN,2013.0,2053.0,5
1017,4,1,33,Chapultepec,25006.0,CULIACAN,2013.0,2053.0,5
1018,4,2,2,Villa de Guadalupe,25006.0,CULIACAN,2013.0,2021.0,4
1019,4,1,19,Centro,25013.0,"PERICOS,MOCORIT",2013.0,2071.0,5
1020,4,1,127,,25018.0,NAVOLATO,2013.0,2063.0,5
1021,4,1,64,Valle Dorado,25006.0,CULIACAN,2013.0,,3
1023,4,1,154,,25011.0,GUASAVE,2013.0,2061.0,5
1024,4,1,10,Centro,25011.0,GUASAVE,2013.0,2053.0,5
1025,4,1,3,Finisterra,25006.0,CULIACAN,2013.0,2071.0,5
1026,4,1,2,Villa Satelite,25006.0,CULIACAN,2013.0,2061.0,5
1027,4,1,192,Genaro Estrada,99999.0,ROSARIO,2013.0,2061.0,5
1028,4,1,85,Ejidal,25011.0,GUASAVE,2013.0,2053.0,5
1029,4,1,125,POB.LEOPOLDO S.,25006.0,ANGOSTURA,2013.0,,3
1030,4,1,4,Infonavit Jobori,25015.0,MOCORITO,2013.0,2053.0,5
1031,4,1,3,Humaya,25006.0,CULIACAN,2013.0,2071.0,5
1032,4,1,2,Stanza Solare,25006.0,CULIACAN,2013.0,2061.0,5
1033,4,1,2,Libertad,25006.0,CULIACAN,2013.0,2063.0,5
1034,4,1,47,Magisterio,25006.0,GUAMUCHIL,2013.0,,3
1035,4,1,1,Salvador Alvarado,25006.0,CULIACAN,2013.0,2053.0,5
1036,4,1,209,Villa de Guadalupe,25006.0,CULIACAN,2013.0,2063.0,5
1037,4,1,3,,25006.0,CULIACAN,2013.0,2061.0,5
1038,4,1,47,,25006.0,EL SALADO CLN,2013.0,2053.0,5
1039,4,1,184,,25013.0,MOCORITO,2013.0,2053.0,5
1040,4,1,17,La Higueras,25006.0,CULIACAN,2013.0,2063.0,5
1041,4,1,64,Valle Dorado,25006.0,CULIACAN,2013.0,2053.0,5
1042,4,1,61,FIDEL GTEZ.,25006.0,VILLA A.FLORES,2013.0,2061.0,5
1043,4,1,72,Los Angeles,25006.0,NAVOLATO,2013.0,2063.0,5
1044,4,1,192,,99999.0,EL ROSARIO,2013.0,2061.0,5
1045,4,2,107,4 de Marzo,25006.0,CULIACAN,2013.0,2053.0,5
1046,4,1,9,,25018.0,NAVOLATO,2013.0,2073.0,5
1047,4,1,2,Chapultepec,25006.0,CULIACAN,2013.0,2061.0,5
1048,4,1,30,Guadalupe,25006.0,CULIACAN,2013.0,,3
1049,4,1,79,,25006.0,MOCORITO,2013.0,2073.0,4
1050,4,1,4,Evora,25015.0,GUAMUCHIL,2013.0,2013.0,4
1051,4,1,27,Las Mañanitas,25006.0,CULIACAN,2013.0,2073.0,4
1052,4,1,2,Morelos,25006.0,CULIACAN,2013.0,2053.0,5
1053,4,1,9,Los Angeles,25018.0,NAVOLATO,2013.0,2061.0,5
1054,4,1,192,Genaro Estrada,99999.0,ROSARIO,2013.0,2061.0,5
1055,4,1,3,Universidad 94,25006.0,CULIACAN,2013.0,2071.0,5
1056,4,1,153,Stase,25006.0,CULIACAN,2013.0,2053.0,5
1057,4,1,107,Canaco,25006.0,CULIACAN,2013.0,2053.0,5
1058,4,1,22,Villa de Guadalupe,25015.0,CULIACAN,2013.0,2043.0,4
1059,4,2,4,FRACC. FRESNOS,25015.0,CULIACAN,2013.0,2053.0,5
1060,4,1,1,Pemex,25006.0,CULIACAN,2013.0,2061.0,5
1061,4,1,3,Culiacancito,25006.0,CULIACAN,2013.0,2053.0,5
1062,4,1,2,Libertad,25006.0,CULIACAN,2013.0,2053.0,5
1063,4,1,125,Reforma,25006.0,ANGOSTURA,2013.0,2061.0,5
1064,4,1,16,Villa Union,25006.0,CULIACAN,2013.0,2071.0,5
1065,4,2,2,Insurgentes,25006.0,CULIACAN,2013.0,2023.0,4
1066,4,1,107,Ejidal,25006.0,CULIACAN,2013.0,2061.0,5
1067,4,1,2,Miguel Leyson,25006.0,CULIACAN,2013.0,2031.0,4
1068,4,1,192,Centro,99999.0,EL ROSARIO,2013.0,,3
1069,4,1,34,Agustina Ramirez,25015.0,GUAMUCHIL,2013.0,2061.0,5
1070,4,1,34,Villa Union,25015.0,GUAMUCHIL,2013.0,2061.0,5
1071,4,1,2,Nueva Vizcaya,25006.0,CULIACAN,2013.0,2061.0,5
1072,4,1,80,Libertad,25006.0,CULIACAN,2013.0,2061.0,5
1073,4,1,2,Cascadas,25006.0,CULIACAN,2013.0,2063.0,5
1074,4,1,153,Humaya,25006.0,CULIACAN,2013.0,2061.0,5
1075,4,1,9,Los Angeles,25018.0,NAVOLATO,2013.0,2061.0,5
1076,4,1,35,Agustina Ramirez,25001.0,CULIACAN,2013.0,2073.0,4
1077,4,1,3,INF.BARRANCOS 2,25006.0,CULIACAN,2013.0,,3
1078,4,1,105,AMP.JARAMILLO,25001.0,LOS MOCHIS,2013.0,2053.0,5
1079,4,1,26,FIDEL VELAZQUEZ,25006.0,"ELDORADO,CULIAC",2013.0,2071.0,5
1080,4,1,112,Las Granjas,99999.0,GUAMUCHIL,2013.0,2063.0,5
1081,4,1,119,Cascadas,25006.0,CULIACAN,2013.0,2061.0,5
1082,4,1,2,4 de Marzo,25006.0,CULIACAN,2013.0,2063.0,5
1083,4,1,55,Fovissste Playa Azul,25009.0,CULIACAN,2013.0,2063.0,5
1084,4,1,9,Ejidal,25018.0,NAVOLATO,2013.0,2061.0,5
1085,4,1,118,Bugambilias,25006.0,CULIACAN,2013.0,2061.0,5
1086,4,1,17,4 de Marzo,25006.0,CULIACAN,2013.0,2061.0,5
1272,4,1,9999,,99999.0,,2011.0,2051.0,5
1274,4,1,9999,,99999.0,,2003.0,2053.0,5
1275,4,1,0,,99999.0,,2003.0,2071.0,5
1665,4,1,9,Salvador Alvarado,25018.0,CULIACAN,2023.0,2071.0,5
1689,4,1,128,Gustavo Diaz Ordaz,25006.0,CULIACAN,2023.0,2071.0,5
1719,4,1,0,Miguel Leyson,1002.0,CULIACAN,2023.0,,3
1722,4,1,133,Nuevo Horizonte,25006.0,CULIACAN,2023.0,2041.0,4
1723,4,1,80,Stanza Solare,25011.0,CULIACAN,2023.0,2031.0,4
1724,4,1,85,Las Granjas,25011.0,CULIACAN,2023.0,2071.0,5
1725,4,1,62,Centro,25006.0,ANGOSTURA,2023.0,2063.0,5
1726,4,1,89,Miguel Hidalgo Y Costilla,25006.0,AGUT.CULIACAN,2023.0,2051.0,4
1727,4,1,2,Villa de Guadalupe,25006.0,CULIACAN,2023.0,2081.0,5
1728,4,1,4,El Toro,25015.0,GUAMUCHIL,2023.0,2073.0,5
1729,4,1,22,Magisterio,25015.0,GUAMUCHIL,2023.0,2051.0,4
1730,4,1,62,Pemex,25006.0,CULIACAN,2023.0,2073.0,5
1731,4,1,2,Finisterra,25006.0,CULIACAN,2023.0,2051.0,4
1732,4,1,107,Las Mañanitas,25006.0,CULIACAN,2023.0,2071.0,5
1733,4,1,2,Humaya,25006.0,CULIACAN,2023.0,2073.0,5
1734,4,2,14,VERACRUZ,25006.0,"COSTA RICA, CUL",2023.0,2071.0,5
1735,4,1,41,Centro,99999.0,EL ROSARIO,2023.0,2063.0,5
1736,4,1,79,,25006.0,RECOVECO,2023.0,2071.0,5
1737,4,1,0,Fovissste Playa Azul,25006.0,CULIACAN,2023.0,2031.0,4
1738,4,1,15,SIN. DE LEYVA,25017.0,GUASAVE,2023.0,2073.0,5
1739,4,1,17,Bugambilias,25006.0,CULIACAN,2023.0,2071.0,5
1740,4,1,9,Azucarera,25018.0,NAVOLATO,2023.0,2083.0,5
1741,4,2,146,El Venadillo,25006.0,CULIACAN,2023.0,2061.0,4
1742,4,1,5,Infonavit Jobori,25006.0,CULIACAN,2023.0,2073.0,5
1743,4,1,2,Nueva Galicia,25006.0,CULIACAN,2023.0,2073.0,5
1744,4,1,2,Industrial Bravo,25006.0,CULIACAN,2023.0,2071.0,5
1745,4,1,16,Los Robles,25006.0,CULIACAN,2023.0,,3
1746,4,1,108,Los Robles,25006.0,CULIACAN,2023.0,2071.0,5
1747,4,1,1,Villa del Real,25006.0,CULIACAN,2023.0,2073.0,5
1748,4,1,362,Los Angeles,25006.0,CULIACAN,2023.0,2083.0,5
1749,4,1,3,Bachigualato,25006.0,CULIACAN,2023.0,2062.0,4
1750,4,1,53,Centro,25006.0,COSTA RICA CLN,2023.0,2073.0,5
1751,4,1,211,Margaritas,25006.0,CULIACAN,2023.0,2071.0,5
1752,4,1,2,Los Angeles,25006.0,CULIACAN,2023.0,,3
1753,4,1,1,Tierra Blanca,25006.0,CULIACAN,2023.0,,3
1754,4,1,2,El Walamo,25006.0,CULIACAN,2023.0,2071.0,5
1755,4,1,189,Universidad 94,25006.0,CULIACAN,2023.0,2081.0,5
1756,4,1,5,Las Mañanitas,25006.0,CULIACAN,2023.0,2063.0,5
1757,4,1,58,Chula Vista,25006.0,CULIACAN,2023.0,2081.0,5
1758,4,1,71,Lazaro Cardenas,25006.0,CULIACAN,2023.0,2063.0,5
1759,4,1,2,Stanza Solare,25006.0,CULIACAN,2023.0,2081.0,5
1760,4,1,79,RECOBECO,25006.0,MOCORITO,2023.0,2073.0,5
1761,4,1,16,Universidad 94,25006.0,CULIACAN,2023.0,,3
1762,4,1,36,Industrial Bravo,25011.0,GUASAVE,2023.0,2041.0,4
1763,4,1,38,Los Angeles,25006.0,CULIACAN,2023.0,2073.0,5
1764,4,1,186,Los Angeles,25006.0,CULIACAN,2023.0,2051.0,4
1765,4,1,71,OSO VIEJO QUILA,25006.0,"QUILA, CULIACAN",2023.0,2083.0,5
1766,4,1,2,Stanza Solare,25006.0,CULIACAN,2023.0,2071.0,5
1767,4,1,4,Cuauhtemoc,25015.0,GUAMUCHIL,2023.0,2063.0,5
1768,4,1,3,Humaya,25006.0,CULIACAN,2023.0,2071.0,5
1769,4,1,153,Los Robles,25006.0,CULIACAN,2023.0,2073.0,5
1770,4,1,2,Nuevo Culiacan,25006.0,CULIACAN,2023.0,,3
1771,4,1,2,Salvador Alvarado,25006.0,CULIACAN,2023.0,2071.0,5
1772,4,1,203,Villa del Real,25006.0,CULIACAN,2023.0,2063.0,5
1773,4,1,56,Villa del Real,25006.0,CULIACAN,2023.0,2041.0,4
1774,4,1,3,Morelos,25006.0,CULIACAN,2023.0,2071.0,5
1775,4,1,46,Chapultepec,25006.0,CULIACAN,2023.0,2071.0,5
1776,4,1,125,Las Granjas,25006.0,CULIACAN,2023.0,2071.0,5
1777,4,1,53,Stanza Solare,25006.0,COSTA RICA,2023.0,2063.0,5
1778,4,1,3,FRAC.HORIZ.III,25006.0,CULIACAN,2023.0,2083.0,5
1779,4,1,56,Ruiz Cortinez Dos,25006.0,CULIACAN,2023.0,2073.0,5
1780,4,1,277,Industrial El Palmito,25006.0,CULIACAN,2023.0,2073.0,5
1781,4,1,17,Del Camino,25006.0,CULIACAN,2023.0,2071.0,5
1782,4,1,31,Libertad,25006.0,CULIACAN,2023.0,2071.0,5
1783,4,1,53,Stanza Solare,25006.0,COSTA RICA,2023.0,2071.0,5
1784,4,1,43,Riveras de Tamazula,25012.0,MAZATLAN,2023.0,2073.0,5
1785,4,1,154,Priv Lomas del Bosque,25011.0,GUASAVE,2023.0,2063.0,5
1786,4,1,40,Humaya,25006.0,CULIACAN,2023.0,2071.0,5
1787,4,1,4,La Higueras,25015.0,GUAMUCHIL,2023.0,2071.0,5
1788,4,1,36,Libertad,25006.0,CULIACAN,2023.0,2063.0,5
1789,4,1,64,Valle Dorado,25006.0,EL DORADO,2023.0,2073.0,5
1790,4,1,3,Buenos Aires,25006.0,CULIACAN,2023.0,2071.0,5
1791,4,1,1,Los Angeles,25006.0,CULIACAN,2023.0,2051.0,4
1792,4,1,107,Las Granjas,25006.0,CULIACAN,2023.0,2093.0,5
1793,4,1,73,El Limon de Los Ramos,25006.0,CULIACAN,2023.0,2071.0,5
1794,4,1,2,Tierra Blanca,25006.0,CULIACAN,2023.0,2081.0,5
1795,4,1,190,Cascadas,25006.0,CULIACAN,2023.0,2063.0,5
1796,4,1,200,DAUTILLOS,25018.0,NAVOLATO,2023.0,2033.0,4
1797,4,1,8,Revolucion,25006.0,CULIACAN,2023.0,2073.0,5
1798,4,1,2,Nuevo Culiacan,25006.0,CULIACAN,2023.0,,3
1799,4,1,117,La Higueras,25006.0,CULIACAN,2023.0,2063.0,5
1800,4,1,2,Las Granjas,25006.0,CULIACAN,2023.0,2071.0,5
1801,4,1,92,Humaya,25006.0,CULIACAN,2023.0,2073.0,5
1802,4,1,97,Los Robles,25006.0,CULIACAN,2023.0,2063.0,5
1803,4,1,109,Independencia,25011.0,GUASAVE,2023.0,2071.0,5
1804,4,1,12,Centro,25018.0,NAVOLATO,2023.0,2063.0,5
1805,4,1,25,Ignacio Allende,25006.0,CULIACAN,2023.0,2063.0,5
1806,4,1,85,Stanza Solare,25006.0,CULIACAN,2023.0,2063.0,5
1807,4,1,108,Buenos Aires,25006.0,CULIACAN,2023.0,2091.0,5
1808,4,1,0,Antonio Toledo Corro,25006.0,CULIACAN,2023.0,2023.0,4
1809,4,1,22,Las Granjas,25015.0,GUASAVE,2023.0,2071.0,5
1810,4,1,2,Emiliano Zapata,25006.0,CULIACAN,2023.0,2033.0,4
1811,4,1,55,Centro,25009.0,ESCUINAPA,2023.0,2063.0,5
1812,4,1,14,Bamoa,25011.0,GUASAVE,2023.0,2063.0,5
1813,4,1,9,Los Angeles,25018.0,NAVOLATO,2023.0,2063.0,5
1814,4,1,26,Centro,25006.0,EL DORADO,2023.0,2073.0,5
1815,4,1,11,Villa del Real,25006.0,SIND.E.ZAPATA,2023.0,2073.0,5
1816,4,1,2,San Francisco,25006.0,CULIACAN,2023.0,2071.0,5
1817,4,1,2,4 de Marzo,25006.0,CULIACAN,2023.0,2081.0,4
1818,4,1,2,Issstesin,25006.0,CULIACAN,2023.0,2071.0,5
1819,4,1,4,ROSALES,25006.0,CULIACAN,2023.0,2073.0,5
1820,4,1,2,El Walamo,25006.0,CULIACAN,2023.0,2071.0,5
1821,4,1,71,Culiacancito,25006.0,CULIACAN,2023.0,2071.0,5
1822,4,1,53,Stanza Solare,25006.0,"COSTA RICA,CLN.",2023.0,2071.0,5
1823,4,1,9,Esperanza,25018.0,NAVOLATO,2023.0,2031.0,4
1824,4,1,2,Villa Satelite,25006.0,CULIACAN,2023.0,2071.0,5
1825,4,1,2,4 de Marzo,25006.0,CULIACAN,2023.0,2063.0,5
1826,4,1,203,Aguajito,25006.0,AGUARUTO CLN,2023.0,2083.0,4
1827,4,1,118,La Sirena,25006.0,CULIACAN,2023.0,2071.0,5
1828,4,1,2,Montserrat,25006.0,CULIACAN,2023.0,2071.0,5
1829,4,1,2,Nuevo Culiacan,25006.0,CULIACAN,2023.0,2083.0,5
1830,4,1,14,Obrera,25006.0,"COSTA, CULIACAN",2023.0,2071.0,5
1831,4,1,38,Chapultepec,25006.0,CULIACAN,2023.0,2073.0,5
1832,4,1,38,Chapultepec,25006.0,CULIACAN,2023.0,2073.0,5
1833,4,1,5,4 de Marzo,25006.0,CULIACAN,2023.0,,3
1834,4,1,193,Las Mañanitas,25006.0,CULIACAN,2023.0,2033.0,4
1836,4,1,3,Cascadas,25006.0,CULIACAN,2023.0,2071.0,4
1837,4,1,98,Gabriel Leyva Velazquez,25006.0,CULIACAN,2023.0,2071.0,5
1838,4,1,127,Heriberto Zazueta,25018.0,NAVOLATO,2023.0,2063.0,5
1839,4,1,41,Villa Union,25006.0,CULIACAN,2023.0,2031.0,4
1840,4,1,153,Villa del Real,25006.0,CULIACAN,2023.0,2083.0,5
1841,4,1,55,Lazaro Cardenas,25006.0,CULIACAN,2023.0,,3
1842,4,1,9,Esperanza,25006.0,CULIACAN,2023.0,2091.0,5
1843,4,1,127,Alfonso G Calderon,25018.0,NAVOLATO,2023.0,2063.0,5
1844,4,1,2,Centro,25006.0,NAVOLATO,2023.0,2063.0,5
1845,4,1,107,Popular,25006.0,CULIACAN,2023.0,2063.0,5
1846,4,2,2,Stanza Solare,25006.0,CULIACAN,2023.0,2033.0,4
1847,4,1,19,Centro,25013.0,MOCORITO,2023.0,2071.0,5
1848,4,1,4,San Ignacio,25006.0,CULIACAN,2023.0,2071.0,5
1849,4,1,190,El Walamo,25006.0,CULIACAN,2023.0,2083.0,5
1850,4,1,10,Villa del Real,25006.0,CULIACAN,2023.0,,3
1851,4,1,153,Stase,25006.0,CULIACAN,2023.0,2063.0,5
1852,4,1,107,Santa Natalia,25006.0,CULIACAN,2023.0,2073.0,5
1853,4,1,62,,25006.0,ANGOSTURA,2023.0,2073.0,5
1854,4,1,3,Humaya,25006.0,CULIACAN,2023.0,2033.0,4
1855,4,2,4,Las Mañanitas,25006.0,CULIACANL,2023.0,2063.0,5
1856,4,1,2,Villa de Guadalupe,25006.0,CULIACAN,2023.0,2063.0,5
1857,4,1,2,Independencia,25006.0,CULIACAN,2023.0,,3
