clave_alumno,materias_aprobadas,materias_reprobadas,materias_totales,promedio_calificaciones,desviacion_calificaciones,duracion_estudios,sexo,prepa,prepa_nombre,carrera,ciudad,colonia,carrera_codificada,ciudad_codificada,colonia_codificada
87,55,0,55,90.98181818181818,7.648507259567928,0.0,2,24.0,COBAES 24(GRAL. EMILIANO ZAPA),Industrial,"CULIACAN, SIN.",Villa de Guadalupe,3,145,784
88,47,7,54,74.74074074074075,30.685369376635716,0.0,2,95.0,COBAC,Industrial,CULIACAN,Centro,3,137,183
89,54,6,60,78.4,27.85081321272629,0.0,2,121.0,UAS (EMILIANO ZAPATA),Industrial,CULIACAN,,3,137,870
90,55,0,55,87.01818181818182,9.91910037193657,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,"CULIACAN, SIN.",Las Granjas,3,145,509
92,54,7,61,75.50819672131148,28.874223193487335,0.0,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",Rafael Buelna,3,145,663
93,50,11,61,67.8688524590164,32.99922999598428,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Los Angeles,3,137,521
94,53,2,55,84.49090909090908,18.58002982821902,0.0,2,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,"CULIACAN, SIN.",Fincas del Humaya,3,145,354
95,54,7,61,73.80327868852459,28.142979984436113,0.0,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",4 de Marzo,3,145,17
96,45,16,61,61.81967213114754,38.26029630340105,0.0,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,"CULIACAN, SIN.",El Venadillo,3,145,266
97,53,7,60,71.38333333333334,27.794092572359755,0.0,1,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Industrial,"COSTA RICA, CLN",Popular,3,109,630
99,51,9,60,70.55,31.154304324861783,0.0,2,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Industrial,CULIACAN,Tierra Blanca,3,137,736
101,55,2,57,80.85964912280701,18.74208270604954,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,CULIACAN,Humaya,3,137,400
102,47,7,54,70.18518518518519,29.265907832934445,0.0,2,77.0,COLEGIO DEL VALLE A.C.,Industrial,"CULIACAN,SIN.",Popular,3,149,630
104,52,7,59,75.54237288135593,29.372942060795303,0.0,1,190.0,PREPARATORIA ABIERTA (SEP),Industrial,CULIACAN,Margaritas,3,137,550
105,5,6,11,40.81818181818182,47.15255705010743,0.0,2,24.0,COBAES 24(GRAL. EMILIANO ZAPA),Industrial,CULIACAN,ROSALES,3,137,659
111,55,4,59,78.89830508474576,23.828912397406,0.0,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,CULIACAN,Industrial Bravo,3,137,428
112,56,0,56,90.28571428571429,9.068856369143566,0.0,2,16.0,COBAES 16(PROFR. CIPRIANO OBE),Industrial,"CULIACAN, SIN.",Villa Satelite,3,145,782
113,56,3,59,76.37288135593221,19.57117717556624,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,"CULIACAN, SIN.",ROSALES,3,145,659
114,53,4,57,79.71929824561404,23.790570150170332,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Campestre,3,137,176
115,49,8,57,72.3157894736842,30.885825398171182,0.0,1,17.0,COBAES 17(PROFR. GABRIEL LEYV),Industrial,CULIACAN,,3,137,870
116,50,5,55,75.0,25.860738152221753,0.0,1,16.0,COBAES 16(PROFR. CIPRIANO OBE),Industrial,"CULIACAN, SIN.",Vicente Guerrero,3,145,776
117,15,8,23,56.08695652173913,43.01259122573957,0.0,1,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,"CULIACAN,SIN.",La Higueras,3,149,500
118,54,6,60,77.76666666666667,27.65548749706946,0.0,1,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN,SIN",Libertad,3,147,515
121,52,5,57,79.28070175438596,26.415467861764053,0.0,2,121.0,UAS (EMILIANO ZAPATA),Industrial,"CULIACAN, SIN.",Villa Mochis,3,145,781
122,36,6,42,73.11904761904762,31.87108359944098,0.0,1,40.0,COBAES 40(LIC.CLEMENTE VIZCAR),Industrial,CULIACAN,Salvador Alvarado,3,137,709
123,55,1,56,83.75,14.734313692873517,0.0,1,98.0,COLEGIO SINALOA,Industrial,"CULIACAN, SIN.",Villa de Guadalupe,3,145,784
124,3,3,6,42.0,46.84015371452148,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,CULIACAN,Santa Natalia,3,137,721
125,48,8,56,69.42857142857143,30.228136888340636,0.0,1,45.0,COBAES 45(PROFR.ALEJANDRO CAL),Industrial,CULIACAN,El Chorizo,3,137,256
126,54,3,57,86.54385964912281,21.99437442314885,0.0,2,128.0,UAS (VLADIMIR I. LENIN),Industrial,ADOLFO L.M.CLN,EL TAMARINDO,3,4,239
130,55,0,55,90.65454545454546,8.527120528747348,0.0,2,153.0,C.E.T.I.S. 107,Industrial,"CULIACAN, SIN.",Nueva Vizcaya,3,145,581
131,53,3,56,79.96428571428571,21.296149276946146,0.0,2,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,CULIACAN,El Walamo,3,137,267
132,56,1,57,88.40350877192982,14.512137345195384,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,"CULIACAN, SIN.",4 de Marzo,3,145,17
133,56,3,59,81.96610169491525,21.097447223983995,0.0,1,38.0,COBAES 38/LIC.MARCO A. ARROYO),Industrial,CULIACAN,Villa Mochis,3,137,781
134,57,2,59,85.64406779661017,18.496749678929525,0.0,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,"CULIACAN, SIN.",Ruiz Cortinez Dos,3,145,678
135,55,0,55,93.52727272727273,7.40583990148752,0.0,1,121.0,UAS (EMILIANO ZAPATA),Industrial,"CULIACAN,SIN.",Humaya,3,149,400
137,48,8,56,68.39285714285714,29.113994492763705,0.0,1,116.0,C.B.T.A. 133,Industrial,"MAZATLAN, SIN.",Villa del Real,3,349,785
138,56,3,59,87.50847457627118,21.868236200697915,0.0,2,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Industrial,CULIACAN,Cascadas,3,137,182
140,56,3,59,80.52542372881356,20.78407541281627,0.0,1,153.0,C.E.T.I.S. 107,Industrial,"CULIACAN, SIN.",Universidad 94,3,145,747
142,52,7,59,72.83050847457628,28.9626111787028,0.0,2,25.0,COBAES 25(GRAL.SALVADOR ALVAR),Industrial,"CULIACAN, SIN.",La Higueras,3,145,500
143,10,8,18,46.0,42.72483779613309,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,"ELDORADO, CLN.",,3,249,870
145,54,2,56,86.89285714285714,18.775882568704098,0.0,2,3.0,COBAES 3(PROFRA. VELINA LEON ),Industrial,"CULIACAN, SIN.",Fovissste Playa Azul,3,145,359
146,54,1,55,88.12727272727273,14.744810192383884,0.0,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,"CULIACAN, SIN.",Industrial Bravo,3,145,428
147,52,7,59,70.94915254237289,27.923802557485494,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,La Higueras,3,137,500
149,58,2,60,85.05,18.243573282164185,0.0,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Industrial,CULIACAN,Centro,3,137,183
150,51,5,56,78.26785714285714,26.58057463735402,0.0,2,107.0,C.B.T.I.S. 224,Industrial,"CULIACAN, SIN.",Villa de Guadalupe,3,145,784
151,56,3,59,80.28813559322033,21.324302832487678,0.0,2,38.0,COBAES 38/LIC.MARCO A. ARROYO),Industrial,CULIACAN,Libertad,3,137,515
152,51,4,55,79.34545454545454,24.04872999019728,0.0,1,38.0,COBAES 38/LIC.MARCO A. ARROYO),Industrial,"CULIACAN, SIN.",Bugambilias,3,145,141
153,45,12,57,66.19298245614036,35.603189361794946,0.0,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Bioquimica,"CULIACAN, SIN.",4 de Marzo,0,145,17
156,44,9,53,71.90566037735849,33.606469243826915,0.0,2,45.0,COBAES 45(PROFR.ALEJANDRO CAL),Bioquimica,"CULIACAN, SIN.",STA.MARIA QUILA,0,145,707
157,58,0,58,89.84482758620689,8.914411206733421,0.0,1,107.0,C.B.T.I.S. 224,Industrial,"AGRICOLA,ANGOST",,3,14,870
158,44,8,52,69.40384615384616,31.207251303769958,0.0,2,17.0,COBAES 17(PROFR. GABRIEL LEYV),Bioquimica,"CULIACAN, SIN.",Libertad,0,145,515
159,42,14,56,59.57142857142857,35.40922177926235,0.0,1,49.0,COBAES 49(GRAL.TEOFILO ALVARE),Bioquimica,GUASAVE,Makarenco,0,285,543
160,42,7,49,70.34693877551021,30.215580294229113,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,"CULIACAN,SIN.",Centro,0,149,183
161,45,5,50,74.28,26.557630826224706,0.0,2,16.0,COBAES 16(PROFR. CIPRIANO OBE),Bioquimica,"CULIACAN, SIN.",Agustina Ramirez,0,145,76
162,24,4,28,70.96428571428571,30.529259969506537,0.0,2,118.0,UAS (CENTRAL DIURNA),Bioquimica,SIN.DE LEYVA,Villa de Guadalupe,0,440,784
163,44,6,50,73.24,28.849758602604826,0.0,2,3.0,COBAES 3(PROFRA. VELINA LEON ),Bioquimica,CULIACAN,Humaya,0,137,400
166,43,10,53,66.58490566037736,33.247575945336656,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Bioquimica,"CULIACAN, SIN.",Stanza Solare,0,145,727
167,41,6,47,72.93617021276596,29.747783443417834,0.0,2,127.0,UAS (NAVOLATO),Bioquimica,"NAVOLATO,SIN.",Alcanfores,0,362,78
170,42,6,48,73.25,28.855103903410143,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Bioquimica,"CULIACAN,SIN.",Fovissste Playa Azul,0,149,359
171,41,16,57,58.64912280701754,37.5768218967444,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Bioquimica,"CULIACAN, SIN.",Casa Blanca,0,145,180
172,43,16,59,57.54237288135593,36.10631907341117,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Bioquimica,"CULIACAN, SIN.",Bachigualato,0,145,129
173,25,6,31,67.0,34.35986030239355,0.0,2,19.0,COBAES 19(GRAL. RAFAEL BUELNA),Bioquimica,"PERICOS,MOC.SIN",,0,384,870
174,47,15,62,58.54838709677419,33.88779819062246,0.0,1,85.0,COLEGIO AZTLAN,Mecanica,"GUASAVE, SIN.",,5,287,870
176,9,11,20,35.0,40.097250201032615,0.0,1,72.0,COBAES 72 (EMSAD S.JOSE D LLANO),Mecanica,"CULIACAN, SIN.",Guadalupe,5,145,384
177,53,3,56,81.44642857142857,21.12036470316754,0.0,1,36.0,COBAES 36(JOSE C.VALADEZ ROCH),Mecanica,"CULIACAN, SIN.",SERVIDOR PUBLIC,5,145,691
178,51,8,59,71.42372881355932,29.4309263740633,0.0,1,71.0,CONALEP   (CULIACAN II),Mecanica,"CULIACAN, SIN.",Lazaro Cardenas,5,145,512
180,5,7,12,31.333333333333332,38.84077832132179,0.0,1,5.0,COBAES 5(PROFRA. FCA. GUERRER),Mecanica,"CULIACAN, SIN.",Miguel Hidalgo Y Costilla,5,145,555
181,56,1,57,85.45614035087719,13.869378108725963,0.0,1,143.0,UAS (ANGOSTURA),Mecanica,"CULIACAN, SIN.",Stanza Solare,5,145,727
183,52,4,56,74.41071428571429,21.991549439574435,0.0,1,102.0,C.E.T. DEL MAR(MAZATLAN),Mecanica,"CULIACAN, SIN.",FRAC. NAKAYAMA,5,145,305
184,45,6,51,73.33333333333333,28.081785318363696,0.0,1,3.0,COBAES 3(PROFRA. VELINA LEON ),Mecanica,"CULIACAN, SIN.",Villa del Real,5,145,785
185,46,7,53,70.37735849056604,28.817880677357206,0.0,1,15.0,COBAES 15(LIC. JOSE G. HEREDIA),Mecanica,"CULIACAN, SIN.",Villa del Real,5,145,785
186,57,0,57,85.26315789473684,8.648960126986106,0.0,1,55.0,COBAES 55(LIC.RAUL CERVANTES ),Mecanica,TOPOLOBAMPO,Infonavit Coca Cola,5,465,432
