clave_alumno,materias_aprobadas,materias_reprobadas,materias_totales,promedio_calificaciones,desviacion_calificaciones,duracion_estudios,sexo,prepa,prepa_nombre,carrera,ciudad,colonia,carrera_codificada,ciudad_codificada,colonia_codificada
6225,45,11,56,63.55357142857143,32.56932167371182,0.0,1,121.0,UAS (EMILIANO ZAPATA),Sistemas,CULIACAN,VILLA,7,137,761
6226,1,5,6,11.666666666666666,28.577380332470412,0.0,1,15.0,COBAES 15(LIC. JOSE G. HEREDIA),Sistemas,SINALOA DE LEYVA,,7,443,870
6227,32,14,46,56.02173913043478,38.227674170210356,0.0,1,107.0,C.B.T.I.S. 224,Sistemas,Culiacan,Salvador,7,177,708
6228,36,9,45,61.82222222222222,32.14688510917071,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Sistemas,CULIACAN,LOS,7,137,492
6229,11,7,18,50.77777777777778,42.3855629632593,0.0,1,153.0,C.E.T.I.S. 107,Sistemas,CULIACAN,Agustina Ramirez,7,137,76
6233,48,8,56,75.30357142857143,32.25575051922435,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Sistemas,CULIACAN,Aquiles Serdan,7,137,92
6236,19,11,30,53.43333333333333,41.775824830036385,0.0,1,121.0,UAS (EMILIANO ZAPATA),Sistemas,CULIACAN,PALMAS PREMIER,7,137,600
6237,4,2,6,56.833333333333336,45.01296109640719,0.0,1,153.0,C.E.T.I.S. 107,Sistemas,CULIACAN,Cuauhtemoc,7,137,199
6238,6,9,15,32.06666666666667,41.04608327698213,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Sistemas,CULIACAN,Rafael Buelna,7,137,663
6239,4,3,7,45.714285714285715,43.14979445958882,0.0,1,79.0,COLEGIO CULIACAN,Industrial,CULIACAN,Revolucion Mexicana,3,137,670
6240,43,10,53,64.30188679245283,32.19865316441547,0.0,1,121.0,UAS (EMILIANO ZAPATA),Industrial,CULIACAN,10,3,137,2
6241,1,5,6,15.833333333333334,38.78358759406699,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Sistemas,CULIACAN,Villa del Real,7,137,785
6242,8,8,16,39.0625,40.807627963409004,0.0,1,15.0,COBAES 15(LIC. JOSE G. HEREDIA),Sistemas,SINALOA DE LEYVA,Centro,7,443,183
6243,50,4,54,75.46296296296296,23.45747896422574,0.0,1,112.0,C.B.T.I.S. 45,Electronica,GUAMUCHIL,Morelos,2,275,565
6244,7,5,12,47.916666666666664,43.141328704900154,0.0,1,70.0,CONALEP I (JUAN DE DIOS BATIZ- CULIACAN),Electronica,CULIACAN,Infonavit Coca Cola,2,137,432
6245,49,3,52,77.11538461538461,21.19901389322741,0.0,1,118.0,UAS (CENTRAL DIURNA),Electronica,CULIACAN,Primavera,2,137,636
6246,20,8,28,58.464285714285715,38.347806101578136,0.0,1,112.0,C.B.T.I.S. 45,Electronica,ANGOSTURA,La Higueras,2,36,500
6247,36,15,51,55.68627450980392,36.9845860845182,0.0,1,143.0,UAS (ANGOSTURA),Electronica,ANGOSTURA,Alhuey,2,36,81
6248,11,6,17,50.64705882352941,39.317523409528526,0.0,1,131.0,UAS (LA CRUZ),Electronica,LA CRUZ,,2,308,870
6249,45,5,50,74.04,26.42892663853956,0.0,1,145.0,Uas (guasave Diurna),Electronica,GUASAVE,Portezza,2,285,632
6250,50,3,53,79.30188679245283,21.578644095191372,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Electronica,CULIACAN,SIMON,2,137,695
6252,50,3,53,80.20754716981132,21.694875760246703,0.0,1,112.0,C.B.T.I.S. 45,Electronica,GUAMUCHIL,Villa del Real,2,275,785
6254,46,8,54,68.20370370370371,29.96877597089295,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,VILLA,3,137,761
6255,55,2,57,85.71929824561404,18.428194999166852,0.0,1,112.0,C.B.T.I.S. 45,Industrial,GUAMUCHIL,Centro,3,275,183
6256,40,9,49,65.91836734693878,32.65912119575344,0.0,1,112.0,C.B.T.I.S. 45,Industrial,culiacan,Industrial Bravo,3,516,428
6257,55,2,57,86.29824561403508,19.396211810079144,0.0,2,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,CULIACAN,Ignacio Allende,3,137,426
6258,54,12,66,66.31818181818181,32.516579955892844,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,LA,3,137,467
6259,48,7,55,71.12727272727273,28.784032704270935,0.0,1,25.0,COBAES 25(GRAL.SALVADOR ALVAR),Industrial,CULIACAN,Campestre,3,137,176
6260,55,1,56,86.66071428571429,14.827832288962885,0.0,1,112.0,C.B.T.I.S. 45,Industrial,GUAMUCHIL,FRAC.,3,275,297
6262,55,1,56,85.55357142857143,15.142858674344446,0.0,1,23.0,COBAES 23(PROFRA.MA.T. DORAME),Industrial,CULIACAN,VILLA,3,137,761
6263,22,7,29,64.41379310344827,38.27953317503392,0.0,2,121.0,UAS (EMILIANO ZAPATA),Industrial,CULIACAN,Olas,3,137,595
6264,54,8,62,75.29032258064517,30.60664617461656,0.0,1,119.0,UAS (CENT. VESP. FLORES MAGON),Industrial,CULIACAN,COUNTRY,3,137,171
6265,45,8,53,67.11320754716981,29.737738505758383,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,5,3,137,18
6266,40,12,52,62.76923076923077,35.82999914334869,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Nuevo,3,137,582
6267,54,7,61,72.90163934426229,27.9581263785879,0.0,1,144.0,UAS (GUAMUCHIL),Industrial,GUAMUCHIL,Nio,3,275,578
6268,38,12,50,63.68,37.363869921492395,0.0,2,118.0,UAS (CENTRAL DIURNA),Industrial,CULIACAN,FRAC.,3,137,297
6269,55,7,62,71.6774193548387,27.039603131210896,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Olas,3,137,595
6270,6,6,12,38.75,40.90593422164386,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Ferrocarrilera,3,137,353
6271,55,3,58,74.46551724137932,19.641716719591493,0.0,1,63.0,COBAES 63(PROFRA.EMILIA OBESO),Industrial,villa,lopez,3,543,844
6273,55,2,57,83.42105263157895,18.51538681400366,0.0,1,29.0,COBAES 29(PROFRA.AGUSTINA ACH),Industrial,NAVOLATO,EL,3,357,232
6274,48,13,61,64.1639344262295,34.761175818178174,0.0,1,121.0,UAS (EMILIANO ZAPATA),Industrial,CULIACAN,Fovissste Playa Azul,3,137,359
6275,61,5,66,76.07575757575758,23.88196010900317,0.0,1,129.0,UAS (CARLOS MARX) COSTA RICA,Mecanica,COSTA,Stanza Solare,5,104,727
6276,10,15,25,28.6,35.80968211717794,0.0,1,121.0,UAS (EMILIANO ZAPATA),Industrial,CULIACAN,Cuauhtemoc,3,137,199
6277,55,0,55,87.67272727272727,8.133275376511506,0.0,1,112.0,C.B.T.I.S. 45,Industrial,GUAMUCHIL,FRACC.,3,275,332
6278,55,6,61,75.63934426229508,26.446822611223233,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,DIAZ,3,137,208
6279,55,0,55,95.69090909090909,5.666250727456146,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,La Villita,3,137,505
6280,55,0,55,89.54545454545455,9.66056930654707,0.0,1,153.0,C.E.T.I.S. 107,Industrial,CULIACAN,SAN,3,137,681
6281,8,9,17,38.23529411764706,42.571306962208574,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Antonio Toledo Corro,3,137,90
6282,3,4,7,38.57142857142857,49.13538149119954,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,ROSALES,3,137,659
6284,54,6,60,71.86666666666666,25.70198611772017,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Plaza,3,137,627
6285,55,6,61,72.37704918032787,25.22311369519779,0.0,1,112.0,C.B.T.I.S. 45,Industrial,GUAMUCHIL,Infonavit Jobori,3,275,433
6286,51,5,56,82.21428571428571,27.63509908248388,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,AMADO,3,137,46
6287,43,10,53,65.98113207547169,33.1589937712912,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,VILLAS,3,137,765
6288,55,0,55,94.43636363636364,7.23613267993451,0.0,2,127.0,UAS (NAVOLATO),Industrial,NAVOLATO,NAVOLATO,3,357,570
6289,55,7,62,76.61290322580645,28.738706884623696,0.0,1,243.0,CENTRO PEDAGOGICO DEL NOROESTE,Industrial,GUASAVE,San Rafael,3,285,719
6290,53,6,59,74.54237288135593,27.081181934361915,0.0,2,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Aguajito,3,137,75
6291,55,3,58,83.12068965517241,21.288393663665403,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,Santa Natalia,3,137,721
6293,54,9,63,70.55555555555556,30.05144931171818,0.0,1,119.0,UAS (CENT. VESP. FLORES MAGON),Industrial,CULIACAN,El Dique,3,137,258
6294,53,9,62,69.62903225806451,30.06781072294878,0.0,1,22.0,COBAES 22(PROFR.MIGUEL CRISTO),Industrial,CULIACAN,Fovissste Playa Azul,3,137,359
6295,53,9,62,70.54838709677419,30.608944058433146,0.0,1,28.0,COBAES 28(DR.FERNANDO URIARTE),Industrial,VILLA,26,3,481,14
6297,20,10,30,54.333333333333336,40.13798040839085,0.0,1,25.0,COBAES 25(GRAL.SALVADOR ALVAR),Industrial,CULIACAN,Campestre,3,137,176
6298,55,10,65,69.64615384615385,30.953811744895997,0.0,1,118.0,UAS (CENTRAL DIURNA),Industrial,CULIACAN,Capistrano Ii,3,137,179
6299,55,1,56,90.16071428571429,15.613254026585915,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,REPUBLICA,3,137,653
6300,55,6,61,75.32786885245902,26.728088416168365,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,El Milagro,3,137,260
6301,1,6,7,11.428571428571429,30.237157840738178,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Salvador Alvarado,3,137,709
6303,55,2,57,86.47368421052632,18.716021844510937,0.0,2,94.0,COLEGIO MONTFERRANT,Industrial,CULIACAN,El Walamo,3,137,267
6304,55,0,55,91.49090909090908,7.450758666995238,0.0,1,29.0,COBAES 29(PROFRA.AGUSTINA ACH),Industrial,culiacan,Canaco,3,516,177
6305,15,1,16,74.5625,21.88749643061079,0.0,1,107.0,C.B.T.I.S. 224,Electronica,CULIACAN,Emiliano Zapata,2,137,268
6306,55,4,59,81.50847457627118,23.803341464473903,0.0,2,87.0,PREPARATORIA CERVANTES,Industrial,CULIACAN,Industrial Bravo,3,137,428
6307,53,8,61,69.52459016393442,28.620858685800616,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,Universidad 94,3,137,747
6308,54,8,62,70.98387096774194,29.11733860985208,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,INF.,3,137,407
6309,55,5,60,76.13333333333334,24.601547882035607,0.0,1,129.0,UAS (CARLOS MARX) COSTA RICA,Industrial,COSTA,San Francisco,3,104,712
6310,55,2,57,85.12280701754386,19.737627386215717,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,CAMPO,3,137,152
6311,55,4,59,84.16949152542372,24.535092771848305,0.0,2,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Libertad,3,137,515
6312,8,4,12,54.166666666666664,41.05613304496736,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Libertad,3,137,515
6313,54,5,59,75.54237288135593,25.330451916070416,0.0,2,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Industrial,NAVOLATO,SAN,3,357,681
6314,55,2,57,85.49122807017544,19.253128509244505,0.0,1,29.0,COBAES 29(PROFRA.AGUSTINA ACH),Industrial,NAVOLATO,Infonavit Jobori,3,357,433
6315,50,15,65,59.56923076923077,33.58244018027187,0.0,1,118.0,UAS (CENTRAL DIURNA),Industrial,CULIACAN,RECURSOS,3,137,649
6316,52,11,63,66.84126984126983,32.12084357407013,0.0,2,82.0,UNIV. CATOLICA DE CULIACAN A.C,Industrial,CULIACAN,Gabriel Leyva Velazquez,3,137,380
6317,46,13,59,61.3728813559322,33.8566441831991,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Villa Union,3,137,783
6318,5,7,12,35.416666666666664,44.182387139371876,0.0,1,71.0,CONALEP   (CULIACAN II),Industrial,CULIACAN,Terranova Plus,3,137,735
6321,12,17,29,33.10344827586207,40.51925893729532,0.0,1,151.0,UAS (CONCORDIA),Bioquimica,CULIACAN,Infonavit Jobori,0,137,433
6322,33,4,37,70.67567567567568,26.201202319798284,0.0,2,111.0,C.B.T.I.S. 51,Bioquimica,CULIACAN,Ignacio Allende,0,137,426
6324,49,7,56,72.28571428571429,28.9241731464841,0.0,1,7.0,COBAES 7(GRAÑ. PABLO MACIAS V),Electronica,EL,Centro,2,206,183
6325,5,9,14,26.428571428571427,36.92135985018446,0.0,1,107.0,C.B.T.I.S. 224,Sistemas,CULIACAN,La Higueras,7,137,500
6330,4,6,10,31.0,40.342974054419386,0.0,1,107.0,C.B.T.I.S. 224,Sistemas,CULIACAN,Monte Bello,7,137,561
6336,39,15,54,59.25925925925926,38.23965401338762,0.0,1,92.0,INSTITUTO CHAPULTEPEC,Industrial,CULIACAN,Guadalupe,3,137,384
6338,14,7,21,54.857142857142854,40.355031550335475,0.0,1,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Infonavit Jobori,0,137,433
6339,50,1,51,86.56862745098039,15.320907155858343,0.0,2,112.0,C.B.T.I.S. 45,Bioquimica,GUAMUCHIL,Morelos,0,275,565
6340,49,0,49,94.46938775510205,5.136073568464564,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Bioquimica,CULIACAN,REPUBLICA,0,137,653
6341,50,2,52,82.17307692307692,18.387678263324478,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Las Granjas,0,137,509
6342,34,12,46,59.91304347826087,36.78032450280178,0.0,2,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Bioquimica,SAN,SAN,0,426,681
6343,50,4,54,77.4074074074074,23.628028222429904,0.0,1,82.0,UNIV. CATOLICA DE CULIACAN A.C,Bioquimica,CULIACAN,LA,0,137,467
6344,4,2,6,61.333333333333336,48.11098280711657,0.0,2,127.0,UAS (NAVOLATO),Bioquimica,NAVOLATO,CIUDADES HERMANAS,0,357,162
6345,16,11,27,48.148148148148145,41.51617266310314,0.0,2,56.0,COBAES 56(GRAL. MACARIO GAXIO),Bioquimica,CULIACAN,Lazaro Cardenas,0,137,512
6346,51,0,51,90.11764705882354,6.7339351313285745,0.0,1,127.0,UAS (NAVOLATO),Bioquimica,NAVOLATO,EL,0,357,232
6347,50,1,51,84.66666666666667,14.710087241980133,0.0,1,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,6,0,137,19
6348,48,5,53,74.88679245283019,25.52047471929947,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,ROSALES,0,137,659
6349,4,2,6,59.833333333333336,46.86327631169919,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Cascadas,0,137,182
6350,4,6,10,37.0,48.08557187163549,0.0,2,123.0,UAS (AUGUSTO CESAR SANDINO),Bioquimica,CULIACAN,Esthela Ortiz de Toledo,0,137,273
6351,44,10,54,65.72222222222223,32.705903146510586,0.0,1,123.0,UAS (AUGUSTO CESAR SANDINO),Bioquimica,CULIACAN,AQUILES,0,137,69
6352,31,5,36,72.69444444444444,30.716974780771295,0.0,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Bioquimica,CULIACAN,Gabriel Leyva Velazquez,0,137,380
6353,50,0,50,88.66,7.64148185222992,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Bioquimica,CULIACAN,La Higueras,0,137,500
6354,51,2,53,82.16981132075472,18.605970763188857,0.0,2,153.0,C.E.T.I.S. 107,Bioquimica,CULIACAN,Canaco,0,137,177
6355,43,5,48,78.20833333333333,28.541092684604862,0.0,2,95.0,COBAC,Bioquimica,CULIACAN,Guadalupe,0,137,384
6356,50,1,51,90.3529411764706,14.786241617681977,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,BARRANCOS,0,137,115
6357,46,7,53,72.43396226415095,29.733760554138726,0.0,1,154.0,C.E.T.I.S. 108,Bioquimica,GUASAVE,LEON,0,285,476
6358,50,1,51,85.03921568627452,14.499601076324444,0.0,1,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Las Granjas,0,137,509
6359,2,4,6,32.166666666666664,49.88152630650617,0.0,1,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Villa del Real,0,137,785
6360,49,0,49,89.83673469387755,8.749635560923641,0.0,2,21.0,COBAES 21(DR. GENARO SALAZAR ),Bioquimica,GUAMUCHIL,Primavera,0,275,636
6361,3,3,6,43.0,47.916594202843754,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Bioquimica,CULIACAN,El Chaleco,0,137,255
6362,44,10,54,65.62962962962963,32.776139674093855,0.0,2,153.0,C.E.T.I.S. 107,Bioquimica,CULIACAN,Infonavit Jobori,0,137,433
6363,51,0,51,90.19607843137256,7.216701761450689,0.0,1,153.0,C.E.T.I.S. 107,Bioquimica,CULIACAN,Libertad,0,137,515
6364,37,13,50,59.06,36.05065030973925,0.0,1,145.0,Uas (guasave Diurna),Bioquimica,TAMAZULA,Tamazula,0,452,733
6365,51,1,52,88.71153846153847,15.016770413945816,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Bioquimica,CULIACAN,San Rafael,0,137,719
6366,39,12,51,59.588235294117645,34.2877100259485,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Bioquimica,CULIACAN,Centro,0,137,183
6367,40,12,52,59.34615384615385,33.54825883993913,0.0,1,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,El Walamo,0,137,267
6368,51,0,51,90.33333333333333,6.938779911963388,0.0,1,153.0,C.E.T.I.S. 107,Bioquimica,CULIACAN,Las Granjas,0,137,509
6369,46,3,49,80.34693877551021,22.560613744244787,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Bioquimica,CULIACAN,FCO.,0,137,285
6370,51,2,53,85.75471698113208,19.00395268639715,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Bugambilias,0,137,141
6371,51,1,52,84.40384615384616,14.046504855035431,0.0,2,121.0,UAS (EMILIANO ZAPATA),Bioquimica,CULIACAN,Villa del Real,0,137,785
6372,49,3,52,85.11538461538461,22.87018252810366,0.0,1,45.0,COBAES 45(PROFR.ALEJANDRO CAL),Bioquimica,QUILA,Nio,0,399,578
6373,44,8,52,69.57692307692308,31.08706694951099,0.0,2,116.0,C.B.T.A. 133,Bioquimica,VILLA,Margaritas,0,481,550
6374,38,10,48,63.104166666666664,33.669380990924935,0.0,2,116.0,C.B.T.A. 133,Bioquimica,VILLA,Margaritas,0,481,550
6375,40,8,48,70.70833333333333,33.14440252048174,0.0,1,127.0,UAS (NAVOLATO),Bioquimica,NAVOLATO,Centro,0,357,183
6376,51,4,55,80.05454545454545,24.473279595130155,0.0,1,127.0,UAS (NAVOLATO),Bioquimica,NAVOLATO,CHULA,0,357,159
6377,50,2,52,86.15384615384616,19.193937579845482,0.0,2,17.0,COBAES 17(PROFR. GABRIEL LEYV),Bioquimica,culiacan,Libertad,0,516,515
6378,6,6,12,41.416666666666664,43.86230175391524,0.0,1,341.0,INST. SUPERIOR DE INFORMATICA Y COMPUTACION,Bioquimica,CULIACAN,Infonavit Coca Cola,0,137,432
6379,31,12,43,57.69767441860465,37.10444388975077,0.0,1,342.0,COBAES 73 (CENTRO DE BACHILLERATO COM. DIMAS),Bioquimica,ESTACION DIMAS,Chula Vista,0,269,188
6380,11,6,17,53.88235294117647,42.132057795906995,0.0,2,90.0,COLEGIO RENOVACION,Bioquimica,CULIACAN,Miguel Leyson,0,137,556
6381,51,0,51,88.05882352941177,8.365193995851817,0.0,1,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,San Miguel,0,137,717
6382,26,5,31,70.90322580645162,32.738717994356136,0.0,2,127.0,UAS (NAVOLATO),Bioquimica,CULIACAN,ROSALES,0,137,659
6383,42,10,52,66.23076923076923,33.74565499096485,0.0,1,325.0,COBAES 69 (PROF. HERMES GONZALES),Bioquimica,"TAMAZULA,",Tamazula,0,456,733
6384,39,15,54,57.833333333333336,37.03274940241255,0.0,2,127.0,UAS (NAVOLATO),Bioquimica,NAVOLATO,Obrera,0,357,592
6385,28,12,40,56.75,38.83677215983419,0.0,2,145.0,Uas (guasave Diurna),Bioquimica,CULIACAN,FRACC.,0,137,332
6386,50,1,51,87.33333333333333,15.650772078931652,0.0,2,107.0,C.B.T.I.S. 224,Bioquimica,CULIACAN,Villa,0,137,780
6387,51,1,52,84.65384615384616,14.547939164591376,0.0,2,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Bioquimica,CULIACAN,Primavera,0,137,636
6388,10,7,17,48.470588235294116,42.26274607597515,0.0,1,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Bioquimica,NAVOLATO,LA CINCUENTA,0,357,469
6389,57,1,58,89.3103448275862,14.270822763076703,0.0,1,27.0,COBAES 27(LIC.RODOLFO MONJARA),Industrial,CULIACAN,Infonavit Jobori,3,137,433
6390,50,4,54,77.24074074074075,23.6650647581406,0.0,1,38.0,COBAES 38/LIC.MARCO A. ARROYO),Bioquimica,MAZATLAN,Stanza Solare,0,346,727
6391,46,7,53,71.90566037735849,29.698655855975524,0.0,1,143.0,UAS (ANGOSTURA),Bioquimica,ANGOSTURA,EL,0,36,232
6392,48,6,54,75.12962962962963,28.131796484496746,0.0,1,153.0,C.E.T.I.S. 107,Bioquimica,CULIACAN,FRACC.,0,137,332
6393,0,6,6,0.0,0.0,0.0,1,90.0,COLEGIO RENOVACION,Bioquimica,CULIACAN,El Chaleco,0,137,255
6394,33,16,49,54.10204081632653,38.75362611956417,0.0,2,121.0,UAS (EMILIANO ZAPATA),Bioquimica,CULIACAN,Santa Natalia,0,137,721
6395,0,6,6,0.0,0.0,0.0,1,197.0,COLEGIO GUAMUCHIL,Bioquimica,SALVADOR ALVARADO,Colinas del Valle,0,424,190
6396,10,2,12,77.33333333333333,37.18341109427779,0.0,2,197.0,COLEGIO GUAMUCHIL,Bioquimica,CULIACAN,Humaya,0,137,400
6397,2,4,6,31.333333333333332,48.6072696894885,0.0,2,45.0,COBAES 45(PROFR.ALEJANDRO CAL),Bioquimica,QUILA,Santa Natalia,0,399,721
6398,3,3,6,39.0,43.243496620879306,0.0,1,144.0,UAS (GUAMUCHIL),Bioquimica,SALVADOR ALVARADO,Militar,0,424,558
6399,3,3,6,45.0,49.46918232596936,0.0,1,325.0,COBAES 69 (PROF. HERMES GONZALES),Bioquimica,GUASAVE,Tamazula,0,285,733
6400,45,6,51,73.15686274509804,28.212318266331536,0.0,2,117.0,UAS (DR. SALVADOR ALLENDE),Bioquimica,CULIACAN,5,0,137,18
6401,7,10,17,29.41176470588235,36.309535289523836,0.0,1,118.0,UAS (CENTRAL DIURNA),Bioquimica,CULIACAN,Terranova Plus,0,137,735
6402,54,3,57,81.3859649122807,20.699166982863368,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Plaza,3,137,627
6403,55,0,55,95.65454545454546,5.037702966477004,0.0,1,153.0,C.E.T.I.S. 107,Industrial,CULIACAN,Villa del Real,3,137,785
6404,55,1,56,95.17857142857143,13.61029976673033,0.0,2,94.0,COLEGIO MONTFERRANT,Industrial,CULIACAN,Morelos,3,137,565
6405,54,0,54,91.5925925925926,7.170480677865484,0.0,1,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,DIAZ,3,137,208
6406,37,8,45,67.95555555555555,32.66980504404887,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Montserrat,3,137,563
6407,45,7,52,72.03846153846153,29.797329488488575,0.0,1,162.0,INST. CULTURAL DE OCCIDENTE,Industrial,MAZATLAN,AMPL.,3,346,58
6408,2,4,6,29.5,45.754781170933384,0.0,2,65.0,CENTRO DE ESTUDIOS DE BACHILLERATO,Industrial,CULIACAN,Primavera,3,137,636
6409,30,13,43,57.325581395348834,38.97418005504996,0.0,1,65.0,CENTRO DE ESTUDIOS DE BACHILLERATO,Industrial,CULIACAN,San Francisco,3,137,712
6410,55,0,55,96.01818181818182,5.794284888900213,0.0,2,153.0,C.E.T.I.S. 107,Industrial,CULIACAN,FRACC.,3,137,332
6412,55,0,55,96.4,4.37839815119301,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,El Walamo,3,137,267
6413,54,1,55,93.78181818181818,14.338101156748232,0.0,2,153.0,C.E.T.I.S. 107,Industrial,CULIACAN,Morelos,3,137,565
6414,43,10,53,68.35849056603773,34.4065592693416,0.0,2,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,San Miguel,3,137,717
6415,54,1,55,93.58181818181818,14.308364439351303,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Centro,3,137,183
6416,32,5,37,71.89189189189189,30.241420990812312,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,FRACC.,3,137,332
6417,10,3,13,66.07692307692308,38.378512952044616,0.0,1,65.0,CENTRO DE ESTUDIOS DE BACHILLERATO,Industrial,CULIACAN,Buenos Aires,3,137,140
6418,28,2,30,76.8,22.524163270463184,0.0,1,55.0,COBAES 55(LIC.RAUL CERVANTES ),Industrial,CULIACAN,Villa del Real,3,137,785
6419,55,0,55,89.23636363636363,8.180744411395525,0.0,2,26.0,COBAES 26(GRAL. ANGEL FLORES),Industrial,CULIACAN,Los Angeles,3,137,521
6420,54,1,55,88.41818181818182,14.064258494615606,0.0,1,89.0,INSTITUTO SIGLO XXI S.C.,Industrial,CULIACAN,Fovissste Playa Azul,3,137,359
6421,8,14,22,28.318181818181817,38.54297090340347,0.0,1,31.0,COBAES 31(PROFRA.IRMA GARMEND),Industrial,EL DORADO,Obrera,3,213,592
6422,54,4,58,80.86206896551724,23.712050586415003,0.0,2,31.0,COBAES 31(PROFRA.IRMA GARMEND),Industrial,EL DORADO,ESCOBESO,3,213,243
6423,55,9,64,71.265625,30.41106846721207,0.0,1,14.0,COBAES 14(PROFRA.IGNACIA ARRA),Industrial,SINALOA,frac.,3,441,824
6424,55,0,55,94.25454545454545,7.338932664899754,0.0,2,162.0,INST. CULTURAL DE OCCIDENTE,Industrial,MAZATLAN,TRONCONAL,3,346,732
6425,54,1,55,89.52727272727273,14.072371862328316,0.0,1,117.0,UAS (DR. SALVADOR ALLENDE),Industrial,CULIACAN,ROSALES,3,137,659
6426,45,11,56,66.53571428571429,34.33787428466722,0.0,2,94.0,COLEGIO MONTFERRANT,Industrial,CULIACAN,San Rafael,3,137,719
6427,55,1,56,94.58928571428571,14.161120635823194,0.0,1,46.0,COBAES 46(GRAL. ANTONIO ROSAS),Industrial,CULIACAN,Los Angeles,3,137,521
6428,55,1,56,89.94642857142857,13.925019527137795,0.0,1,107.0,C.B.T.I.S. 224,Industrial,CULIACAN,Guadalupe,3,137,384
6429,41,10,51,63.64705882352941,32.8894046947717,0.0,1,149.0,UAS (RUBEN JARAMILLO),Industrial,MAZATLAN,AMPL.,3,346,58
